,symptom,question,isCorrectQ
41,Аритмия,"Подскажите, вас беспокоит аритмия?",1
42,Аритмия,"Подскажите, отмечаете ли вы у себя нарушения ритма сердца?",1
43,Ассиметрия лица,"Можете ли вы рассказать, отмечаете ли у себя ассиметрию лица?",1
44,Ассиметрия лица,"Расскажите, отмечаете ли вы у себя ассиметрию лица?",1
45,Ассиметрия лица,"Скажите, беспокоит ли вас асимметрия лица?",1
46,Ассиметрия лица,Есть ли у вас асимметрия лица?,1
47,Ассиметрия лица,Бывает ли у вас асимметрия лица?,1
48,Ассиметрия лица,"Подскажите, отмечаете ли вы у себя асимметрию лица? ",1
49,Ассиметрия лица,"Подскажите, беспокоит ли вас асимметрия лица?",1
50,Ассиметрия лица,Отмечаете ли вы у себя асимметрию лица?,1
51,Беспокойный сон,Не беспокоят ли вас кошмары?,1
52,Беспокойный сон,Бывало ли у вас беспокойство во сне?,1
53,Беспокойный сон,Вас беспокоят кошмары?,1
54,Бледность губ,"Скажите, есть ли у вас бледность губ?",1
55,Бледность губ,Есть ли у вас бледность кожи губ?,1
56,Бледность губ,"Скажите, у вас бледные губы?",1
57,Бледность губ,Вас беспокоит бледность губ?,1
58,Бледность губ,Есть ли у вас бледность губ?,1
59,Бледность губ,"Подскажите, отмечаете ли вы у себя бледность губ?",1
60,Бледность губ,Не замечали ли вы у себя бледность губ?,1
61,Бледность губ,"Расскажите, отмечаете ли вы у себя бледность губ?",1
62,Бледность губ,Нет ли вас бледности кожи губ?,1
63,Бледность губ,"Опишите, отмечаете ли вы у себя бледность губ?",1
64,Бледность губ,"Уточните, есть ли у вас бледность кожи губ?",1
65,Бледность кожи,Не замечали ли вы у себя бледности кожи?,1
66,Бледность кожи,Есть ли у вас бледность кожи?,1
67,Бледность кожи,Не замечали ли вы у себя бледность кожи в последнее время?,1
68,Бледность кожи,Вас беспокоит бледность кожи?,1
69,Бледность лица,Есть ли у вас бледность кожи лица?,1
70,Бледность лица,Не замечали ли вы у себя бледность кожи лица?,1
71,Бледность лица,Не замечали ли вы у себя побледнение кожи лица?,1
72,Бледность лица,Не замечали ли вы бледности кожи лица у себя?,1
73,Бледность лица,Не замечали ли вы бледности лица у себя в последнее время?,1
74,Бледность лица,"Скажите, есть ли у вас бледность лица?",1
75,Болезненная дефекация,Вас беспокоит болезненная дефекация?,1
76,Болезненная дефекация,"Подскажите, жалуетесь ли вы на болезненную дефекацию?",1
77,Болезненная дефекация,Есть ли у вас болезненные дефекации?,1
78,Болезненная дефекация,Вас беспокоит болезненность или дискомфорт в области прямой кишки при дефекации?,1
79,Болезненная дефекация,Часто ли вас беспокоит болезненная дефекация?,1
80,Болезненная дефекация,"Подскажите, бывают ли у вас болезненные дефекации?",1
81,Болезненная дефекация,"Подскажите, случается ли у вас болезненная дефекация?",1
82,Болезненная дефекация,Бывает ли у вас болезненность или дискомфорт в области заднего прохода при дефекации?,1
83,Болезненная дефекация,Бывает ли у вас болезненная дефекация?,1
84,Болезненный оргазм,"Подскажите, бывает ли у вас болезненный оргазм?",1
85,Болезненный оргазм,Вы жалуетесь на болезненный оргазм?,1
86,Болезненный оргазм,Вас беспокоит болезненный оргазм?,1
87,Болезненный оргазм,"Подскажите, случается ли у вас болезненный оргазм?",1
88,Болезненный оргазм,Часто ли у вас возникает болезненный оргазм?,1
89,Болезненный оргазм,Есть ли у вас болезненный оргазм?,1
90,Болезненный оргазм,"Подскажите, случаются ли у вас болезненные оргазмы?",1
91,Болезненный оргазм,Часто ли вас беспокоит болезненный оргазм?,1
92,Болезненный оргазм,"Подскажите, бывают ли у вас болезненные оргазмы?",1
93,Боли,Вас беспокоят боли?,1
94,Боли,"Подскажите, бывают ли у вас боли?",1
95,Боли,"Подскажите, есть ли у вас боли?",1
96,Боли,"Ещё вопрос, бывают ли у вас боли?",1
97,Боли,Часто ли у вас возникают боли?,1
98,Боли,"Подскажите пожалуйста, бывают ли у вас боли?",1
99,Боли,"Подскажите, беспокоят ли вас боли?",1
100,Боли,"Можете ли вы сказать, что у вас боли?",1
101,Боль в бедре,"Подскажите, беспокоят ли вас боли в бедре?",1
102,Боль в бедре,Отмечаете ли вы у себя боль в бедре?,1
103,Боль в бедре,"Можете ли вы сказать, что у вас болит бедро?",1
104,Боль в бедре,"Подскажите, бывает ли у вас боль в бедре?",1
105,Боль в бедре,Вас беспокоит боль в бедре?,1
106,Боль в бедре,"Подскажите, болит ли у вас бедро?",1
107,Боль в бедре,Часто ли у вас болит бедро?,1
108,Боль в бедре,"Подскажите, есть ли у вас боль в бедре?",1
109,Боль в бедре,Есть ли у вас боль в бедре?,1
110,Боль в бедре,"Можете ли вы сказать, болит ли у вас бедро?",1
111,Боль в боку,У вас болит бок?,1
112,Боль в боку,"Подскажите пожалуйста, отмечаете ли вы у себя боль в боку?",1
113,Боль в боку,Бывает ли у вас боль в боку?,1
114,Боль в боку,"Подскажите, болит ли у вас в боку?",1
115,Боль в боку,"Подскажите, жалуетесь ли вы на боль в боку? ",1
116,Боль в боку,Болит ли у вас бок?,1
117,Боль в боку,"Подскажите, бывает ли у вас боль в боку?",1
118,Боль в боку,"Подскажите, есть ли у вас боль в боку?",1
119,Боль в боку,"Можете ли вы сказать, болит ли у вас в боку?",1
120,Боль в боку,"Подскажите, болит ли у вас бок?",1
121,Боль в боку,Есть ли у вас боль в боку?,1
122,Боль в веках,"Подскажите, бывают ли у вас боли в веках?",1
123,Боль в веках,"Подскажите, жалуетесь ли вы на боль в веках?",1
124,Боль в веках,"Подскажите, отмечаете ли вы у себя боль в веках?",1
125,Боль в веках,"Подскажите, болят ли у вас веки?",1
126,Боль в веках,"Подскажите, бывает ли у вас боль в веках?",1
127,Боль в веках,"Ещё вопрос, бывает ли у вас боль в веках?",1
128,Боль в веках,"Подскажите, болит ли у вас веко глаза?",1
129,Боль в веках,"Подскажите, беспокоят ли вас боли в веках?",1
130,Боль в верхней части спины,"Можете ли вы сказать, что у вас болит верхняя часть спины?",1
131,Боль в верхней части спины,"Подскажите, есть ли у вас боль в верхней части спины?",1
132,Боль в верхней части спины,"Подскажите пожалуйста, отмечаете ли вы у себя боль в верхней части спины?",1
133,Боль в верхней части спины,"Подскажите, возникает ли у вас боль в верхней части спины?",1
134,Боль в верхней части спины,"Подскажите, болит ли у вас верхняя часть спины?",1
135,Боль в верхней части спины,"Подскажите, отмечаете ли вы у себя боль в верхней части спины?",1
136,Боль в верхней части спины,"Скажите, болит ли у вас верхняя часть спины?",1
137,Боль в верхней части спины,Вас беспокоит боль в верхней части спины?,1
138,Боль в верхней части спины,"Подскажите, у вас болит верхняя часть спины?",1
139,Боль в верхней части спины,Вы жалуетесь на боль в верхней части спины?,1
140,Боль в верхней части спины,Часто ли у вас болит верхняя часть спины?,1
141,Боль в глазах,"Можете ли вы сказать, болит ли у вас глаз?",1
142,Боль в глазах,Замечали ли вы у себя боль в глазах?,1
143,Боль в глазах,Часто ли у вас болит глаз?,1
144,Боль в глазах,"Хорошо, в таком случае болит ли у вас глаз?",1
145,Боль в глазах,У вас болит глаз?,1
146,Боль в глазах,"Подскажите, у вас болит глаз?",1
147,Боль в глазах,Есть ли у вас боль в глазах?,1
148,Боль в глазах,Подскажите болит ли у вас глаз?,1
149,Боль в глазах,Вы жалуетесь на боль в глазах?,1
150,Боль в глазах,"Подскажите, отмечаете ли вы у себя боль в глазах?",1
151,Боль в глазах,"Подскажите, болит ли у вас глаз?",1
152,Боль в глазах,"Можете ли вы сказать, что у вас болит глаз?",1
153,Боль в глазах,"Подскажите, жалуетесь ли вы на боль в глазах?",1
154,Боль в голени,"Можете сказать, беспокоит ли вас боль в голени?",1
155,Боль в голени,Часто ли у вас болит голень?,1
156,Боль в голени,"Можете ли вы сказать, что у вас болит голень?",1
157,Боль в голени,"Подскажите, болит ли у вас голень?",1
158,Боль в голени,Есть ли у вас боль в голени?,1
159,Боль в голени,"Подскажите, отмечаете ли вы у себя боль в голени?",1
160,Боль в голеностопных суставах,Вас беспокоит боль в голеностопных суставах?,1
161,Боль в голеностопных суставах,Страдаете ли вы от боли в голеностопных суставах?,1
162,Боль в голеностопных суставах,"Можете ли вы сказать, что у вас болят голеностопные суставы?   ",1
163,Боль в голеностопных суставах,Есть ли у вас боли в голеностопных суставах?,1
164,Боль в голеностопных суставах,"Можете ли вы сказать, что у вас болит голеностоп?",1
165,Боль в голеностопных суставах,"Подскажите, случаются ли у вас боли в голеностопных суставах?",1
166,Боль в голеностопных суставах,"Подскажите, бывают ли у вас боли в голеностопных суставах?",1
167,Боль в горле,Болит ли у вас горло?,1
168,Боль в горле,"Можете ли вы сказать, жалуетесь ли вы на боль в горле?",1
169,Боль в горле,Боль в горле беспокоит вас?,1
170,Боль в горле,"Понятно, а жалуетесь ли вы на боль в горле?  ",1
171,Боль в горле,Есть ли у вас боль в горле?,1
172,Боль в горле,"Можете ли вы сказать, болит ли у вас горло?",1
173,Боль в горле,Нет ли у вас боли в горле?,1
174,Боль в запястьях,"Подскажите, болят ли у вас запястья?",1
175,Боль в запястьях,"Подскажите, отмечаете ли вы у себя боль в запястьях?",1
176,Боль в запястьях,"Подскажите пожалуйста, бывают ли у вас боли в запястьях?",1
177,Боль в запястьях,"Подскажите, беспокоят ли вас боли в запястьях?",1
178,Боль в запястьях,"Подскажите, бывают ли у вас боли в запястьях?",1
179,Боль в запястьях,"Можете ли вы сказать, есть ли у вас боль в запястьях?",1
180,Боль в запястьях,Часто ли у вас болят запястья?,1
181,Боль в запястьях,Есть ли у вас боль в запястьях?,1
182,Боль в запястьях,"Можете ли вы рассказать, отмечаете ли у себя боль в запястьях?",1
183,Боль в кистях,"Подскажите, беспокоит ли вас боль в кистях?",1
184,Боль в кистях,"Подскажите, бывают ли у вас боли в кистях?",1
185,Боль в кистях,"Можете ли вы сказать, что у вас болят кисти? ",1
186,Боль в кистях,"Скажите, отмечаете ли вы у себя боль в кистях?",1
187,Боль в кистях,"Подскажите, отмечаете ли вы у себя боль в кистях?",1
188,Боль в кистях,"Подскажите, есть ли у вас боль в кистях?",1
189,Боль в кистях,"Подскажите, беспокоят ли вас боли в кистях?",1
190,Боль в кистях,Часто ли у вас болит кисть руки?,1
191,Боль в кистях,"Подскажите, жалуетесь ли вы на боль в кистях? ",1
192,Боль в коленных суставах,Есть ли у вас боли в коленных суставах?,1
193,Боль в коленных суставах,Часто ли у вас болит колено?,1
194,Боль в коленных суставах,Есть ли у вас боль в коленных суставах?,1
195,Боль в коленных суставах,"Подскажите, жалуетесь ли вы на боль в коленных суставах?",1
196,Боль в коленных суставах,"Можете ли вы сказать, что у вас болит колено?",1
197,Боль в коленных суставах,"Подскажите, бывают ли у вас боли в коленках?",1
198,Боль в коленных суставах,"Могу ли я уточнить, отмечаете ли вы у себя боль в коленных суставах?   ",1
199,Боль в коленных суставах,"Можете ли вы сказать, что у вас болят колени?",1
200,Боль в коленных суставах,"Подскажите, отмечаете ли вы у себя боль в коленных суставах?",1
201,Боль в коленных суставах,Есть ли у вас боли в коленках?,1
202,Боль в коленных суставах,"Подскажите, бывают ли у вас боли в коленных суставах?",1
203,Боль в коленных суставах,У вас болит колено?,1
204,Боль в коленных суставах,Вас беспокоит боль в коленных суставах?,1
205,Боль в конечностях,"Могу ли я уточнить, есть ли у вас боль в конечностях?",1
206,Боль в конечностях,"Подскажите, бывает ли у вас боль в конечностях?",1
207,Боль в конечностях,"Можете ли вы сказать, что у вас болит рука или нога?",1
208,Боль в конечностях,"Подскажите, отмечаете ли вы у себя боль в конечностях?",1
209,Боль в конечностях,"Можете ли вы сказать, болит ли у вас рука или нога?",1
210,Боль в конечностях,"Подскажите, возникает ли у вас боль в конечностях?",1
211,Боль в конечностях,Есть ли у вас боли в конечностях?,1
212,Боль в конечностях,"Можете сказать, отмечаете ли вы у себя боль в конечностях?",1
213,Боль в конечностях,"Можете ли вы уточнить, отмечаете ли у себя боль в конечностях? ",1
214,Боль в конечностях,Нет ли у вас боли в конечностях?,1
215,Боль в конечностях,Вы жалуетесь на боль в конечностях?,1
216,Боль в костях,"Скажите, отмечаете ли вы у себя боль в костях?",1
217,Боль в костях,"Ещё вопрос, бывает ли у вас боль в костях?",1
218,Боль в костях,"Подскажите, бывает ли у вас боль в костях?",1
219,Боль в костях,Есть ли у вас боли в костях?,1
220,Боль в костях,"Подскажите, отмечаете ли вы у себя боль в костях?",1
221,Боль в костях,"Можете ли вы сказать, отмечаете ли у себя боль в костях?",1
222,Боль в костях,"Подскажите, есть ли у вас боль в костях?",1
223,Боль в левом подреберье,"Подскажите, отмечаете ли вы у себя боль в левом подреберье?",1
224,Боль в левом подреберье,"Подскажите, есть ли у вас боль в левом подреберье?",1
225,Боль в левом подреберье,Есть ли у вас боль в левом подреберье?,1
226,Боль в левом подреберье,"Можете ли вы сказать, что у вас болит левое подреберье?",1
227,Боль в левом подреберье,Часто ли у вас болит в левом подреберье?,1
228,Боль в левом подреберье,"Подскажите, бывает ли у вас боль в левом подреберье?",1
229,Боль в левом подреберье,Бывает ли у вас боль в левом подреберье?,1
230,Боль в левом подреберье,"Подскажите, болит ли у вас левое подреберье? ",1
231,Боль в левом подреберье,Часто ли у вас болит левое подреберье?,1
232,Боль в локтевых суставах,"Подскажите, бывают ли у вас боли в локтевых суставах?",1
233,Боль в локтевых суставах,Вас беспокоит боль в локтевых суставах?,1
234,Боль в локтевых суставах,"Уточните, отмечаете ли вы у себя боль в локтевых суставах?",1
235,Боль в локтевых суставах,"Подскажите, бывает ли у вас боль в локтевых суставах?",1
236,Боль в локтевых суставах,"Подскажите, беспокоит ли вас боль в локтевых суставах?",1
237,Боль в локтевых суставах,Подскажите болит ли у вас локтевой сустав?,1
238,Боль в локтевых суставах,Возникает ли у вас боль в локтевых суставах?,1
239,Боль в локтевых суставах,"Подскажите, отмечаете ли вы у себя боль в локтевых суставах?",1
240,Боль в нижней части спины,"Подскажите, беспокоят ли вас боли в нижней части спины?",1
241,Боль в нижней части спины,"Подскажите, отмечаете ли вы у себя боль в нижней части спины?",1
242,Боль в нижней части спины,Есть ли у вас боли в нижней части спины? ,1
243,Боль в нижней части спины,"Подскажите, возникает ли у вас боль в нижней части спины?",1
244,Боль в нижней части спины,"Подскажите, жалуетесь ли вы на боль в нижней части спины?",1
245,Боль в нижней части спины,"Подскажите, бывают ли у вас боли в нижней части спины?",1
246,Боль в нижней части спины,"Подскажите, страдаете ли вы от боли в нижней части спины?",1
247,Боль в нижней части спины,"Подскажите, есть ли у вас боль в нижней части спины?",1
248,Боль в нижней части спины,Часто ли у вас болит нижняя часть спины?,1
249,Боль в нижней части спины,"Подскажите, болит ли у вас нижняя часть спины?",1
250,Боль в нижней части спины,"Подскажите, бывает ли у вас боль в нижней части спины?",1
251,Боль в ногах,Есть ли у вас боли в ногах?,1
252,Боль в ногах,"Подскажите, отмечаете ли вы у себя боли в ногах?",1
253,Боль в ногах,"Можете ли вы сказать, что у вас болит нога?",1
254,Боль в ногах,"Подскажите, отмечаете ли вы у себя боль в ногах?",1
255,Боль в ногах,Нет ли у вас боли в ноге?,1
256,Боль в ногах,"Ещё вопрос, отмечаете ли вы у себя боль в ногах?",1
257,Боль в ногах,"Подскажите, бывает ли у вас боль в ногах?",1
258,Боль в ногах,"Могу ли я уточнить, беспокоят ли вас боли в ногах?",1
259,Боль в области ногтей,"Подскажите, отмечаете ли вы у себя боль в области ногтей?",1
260,Боль в области ногтей,"Подскажите, беспокоит ли вас боль в области ногтей?",1
261,Боль в области ногтей,"Подскажите, есть ли у вас боль в области ногтей? ",1
262,Боль в области ногтей,"Подскажите, болит ли у вас область ногтей?",1
263,Боль в области ногтей,"Подскажите, болит ли у вас ногтевая пластина?",1
264,Боль в области ногтей,"Подскажите, возникает ли у вас боль в области ногтей?",1
265,Боль в области ногтей,"Подскажите, жалуетесь ли вы на боль в области ногтей?",1
266,Боль в области ногтей,"Подскажите, болят ли у вас ногти?",1
267,Боль в области пищевода,Есть ли у вас боль в области пищевода?,1
268,Боль в области пищевода,Вас беспокоит боль в области пищевода?,1
269,Боль в области пищевода,Бывает ли у вас боль в области пищевода?,1
270,Боль в области пищевода,Не отмечаете ли у себя боль в области пищевода?,1
271,Боль в области пищевода,Есть ли у вас боли в области пищевода?,1
272,Боль в области пищевода,"Подскажите, отмечаете ли вы у себя боль в области пищевода?",1
273,Боль в области пищевода,"Подскажите, есть ли у вас боль в области пищевода?",1
274,Боль в области пищевода,"Уточните, есть ли у вас боль в области пищевода?",1
275,Боль в области пищевода,"Можете ли вы сказать, болит ли у вас пищевод?",1
276,Боль в области пищевода,Не болит ли у вас пищевод?,1
277,Боль в области пищевода,"Подскажите, бывает ли у вас боль в области пищевода?",1
278,Боль в области пищевода,Вы ощущали боль в области пищевода?,1
279,Боль в области пищевода,"Можете ли вы сказать, что у вас болит в области пищевода?",1
280,Боль в области пищевода,"Можете ли вы сказать, что у вас есть боль в области пищевода?",1
281,Боль в области почек,"Хорошо, в таком случае отмечаете ли вы у себя боль в области почек?",1
282,Боль в области почек,"Подскажите, есть ли у вас боль в области почек?",1
283,Боль в области почек,У вас болят почки?,1
284,Боль в области почек,"Подскажите, отмечаете ли вы у себя боль в области почек?",1
285,Боль в области почек,"Подскажите, бывает ли у вас боль в области почек?",1
286,Боль в области почек,У вас болит в области почек?,1
287,Боль в области почек,"Подскажите, болит ли у вас правая почка?",1
288,Боль в области почек,"Подскажите, жалуетесь ли вы на боль в области почек?",1
289,Боль в области почек,"Подскажите, бывают ли у вас боли в области почек?",1
290,Боль в области почек,Вам знакома боль в области почек?,1
291,Боль в области почек,Бывает ли у вас боль в области почек?,1
292,Боль в области почек,Не отмечаете ли вы у себя боль в области почек?,1
293,Боль в околоушной области,"Подскажите, жалуетесь ли вы на боль в околоушной области?",1
294,Боль в околоушной области,"Подскажите, отмечаете ли вы у себя боль в околоушной области?",1
295,Боль в околоушной области,"Понятно, а случается ли у вас боль в околоушной области?",1
296,Боль в околоушной области,"Хорошо, в таком случае отмечаете ли вы у себя отёки в области ушей",1
297,Боль в околоушной области,Вы ощущали боль в околоушной области?,1
298,Боль в околоушной области,Бывает ли у вас боль в околоушной области?,1
299,Боль в околоушной области,У вас болит околоушная область?,1
300,Боль в околоушной области,"Подскажите, болит ли у вас околоушная область?",1
301,Боль в околоушной области,Есть ли у вас боль в околоушной области?,1
302,Боль в пальцах ног,Не отмечаете ли вы у себя боль в пальцах ног?,1
303,Боль в пальцах ног,"Подскажите, отмечаете ли вы у себя боль в пальцах ног?",1
304,Боль в пальцах ног,Есть ли у вас боль в пальцах ног?,1
305,Боль в пальцах ног,Нет ли у вас боли в пальцах ног?,1
306,Боль в пальцах ног,Есть ли у вас боли в пальцах ног?,1
307,Боль в пальцах ног,"Подскажите, страдаете ли вы от боли в пальцах ног?",1
308,Боль в пальцах ног,Возникает ли у вас боль в пальцах ног?,1
309,Боль в пальцах ног,"Подскажите, есть ли у вас боль в пальцах ног?",1
310,Боль в пальцах ног,Болят ли ваши пальцы ног?,1
311,Боль в пальцах ног,"Подскажите, возникает ли у вас боль в пальцах ног?",1
312,Боль в пальцах ног,"Расскажите, жалуетесь ли вы на боль в пальцах ног?",1
313,Боль в пальцах ног,"Подскажите, бывают ли у вас боли в пальцах ног?",1
314,Боль в пальцах рук,"Подскажите, отмечаете ли вы у себя боль в пальцах рук?",1
315,Боль в пальцах рук,Боль в пальцах рук беспокоит вас?,1
316,Боль в пальцах рук,Болят ли ваши руки?,1
317,Боль в пальцах рук,"Можете ли вы сказать, что у вас болит палец на руке?",1
318,Боль в пальцах рук,Часто ли у вас болит палец руки?,1
319,Боль в пальцах рук,Боль в пальцах рук бывает?,1
320,Боль в пальцах рук,"Подскажите, есть ли у вас боль в пальцах рук?",1
321,Боль в пальцах рук,Не отмечаете ли вы у себя боль в пальцах рук?,1
322,Боль в пальцах рук,"Подскажите, беспокоит ли вас боль в пальцах рук?",1
323,Боль в пальцах рук,Есть ли у вас боль в пальцах рук?,1
324,Боль в пальцах рук,"Подскажите, болит ли у вас палец на руке?",1
325,Боль в пальцах рук,"Можете ли вы сказать, что у вас болят пальцы рук?",1
326,Боль в пальцах рук,"Подскажите, жалуетесь ли вы на боль в пальцах рук?",1
327,Боль в пальцах рук,"Подскажите, беспокоят ли вас боли в пальцах рук?",1
328,Боль в плечах,Есть ли у вас боль в плечах?,1
329,Боль в плечах,"Подскажите, бывают ли у вас боли в плечах?",1
330,Боль в плечах,"Подскажите, отмечаете ли вы у себя боль в плечах?",1
331,Боль в плечах,Кружиться ли у вас спина?,0
332,Боль в плечах,"Можете ли вы сказать, что у вас болит плечо?",1
333,Боль в плечах,Испытываете ли вы боль в плечах?,1
334,Боль в плечах,"Подскажите, беспокоят ли вас боли в плечах?",1
335,Боль в плечах,"Подскажите, есть ли у вас боль в плечах?",1
336,Боль в плечах,"Подскажите, жалуетесь ли вы на боль в плечах?",1
337,Боль в плечах,"Подскажите, бывает ли у вас боль в плечах?",1
338,Боль в плечах,"Подскажите, страдаете ли вы от боли в плечах?",1
339,Боль в плечах,Вас беспокоит боль в плечах?,1
340,Боль в плечах,Часто ли у вас болит плечо?,1
341,Боль в плечевых суставах,Беспокоит ли вас боль в плечевых суставах?,1
342,Боль в плечевых суставах,"Ещё вопрос, есть ли у вас боль в плечевых суставах?",1
343,Боль в плечевых суставах,Часто ли у вас болит плечо?,1
344,Боль в плечевых суставах,"Можете ли вы сказать, что у вас болит плечо?",1
345,Боль в плечевых суставах,Есть ли у вас боль в плечевых суставах?,1
346,Боль в плечевых суставах,Вас беспокоит боль в плечевых суставах?,1
347,Боль в плечевых суставах,"Скажите, есть ли у вас боль в плечевых суставах?",1
348,Боль в плечевых суставах,"Подскажите, беспокоит ли вас боль в плечевых суставах?",1
349,Боль в плечевых суставах,Есть ли у вас боль в плечевом суставе?,1
350,Боль в подмышечных областях,"Подскажите, отмечаете ли вы у себя боль в подмышечных областях?",1
351,Боль в подмышечных областях,Вы жалуетесь на боль в подмышечных областях?,1
352,Боль в подмышечных областях,Испытываете ли вы боль в подмышечных областях?,1
353,Боль в подмышечных областях,Нет ли у вас боли в подмышечных областях?,1
354,Боль в подмышечных областях,"Скажите, отмечаете ли вы у себя боль в подмышечных областях?",1
355,Боль в подмышечных областях,"Подскажите, жалуетесь ли вы на боль в подмышечных областях?",1
356,Боль в подмышечных областях,"Можете ли вы сказать, что у вас болит подмышечная область?",1
357,Боль в подмышечных областях,"Подскажите, болят ли у вас подмышки?",1
358,Боль в подмышечных областях,"Могу ли я уточнить, отмечаете ли вы у себя боль в подмышечных областях?",1
359,Боль в подмышечных областях,Есть ли у вас боль в подмышечных областях?,1
360,Боль в подмышечных областях,"Можете ли вы сказать, что у вас болит подм",0
361,Боль в правом подреберье,Вас беспокоит боль в правом подреберье?,1
362,Боль в правом подреберье,Возникала ли у вас боль в правом подреберье?,1
363,Боль в правом подреберье,"Подскажите, отмечаете ли вы у себя боль в правом подреберье?",1
364,Боль в правом подреберье,"Опишите, отмечаете ли вы у себя боль в правом подреберье?",0
365,Боль в правом подреберье,"Подскажите, беспокоит ли вас боль в правом подреберье?",1
366,Боль в правом подреберье,Часто ли у вас болит в правом подреберье?,1
367,Боль в правом подреберье,"Подскажите, болит ли у вас правое подреберье?",1
368,Боль в правом подреберье,Часто ли у вас болит правое подреберье?,1
369,Боль в правом подреберье,Болит ли у вас живот?,1
370,Боль в правом подреберье,Есть ли у вас боль в правом подреберье?,1
371,Боль в правом подреберье,"Подскажите, возникает ли у вас боль в правом подреберье?",1
372,Боль в правом подреберье,Вы страдаете от боли в правом подреберье?,1
373,Боль в предплечье,"Скажите, беспокоит ли вас боль в предплечье?",1
374,Боль в предплечье,"Подскажите, болит ли у вас предплечье?",1
375,Боль в предплечье,"Подскажите, отмечаете ли вы у себя боль в предплечье?",1
376,Боль в предплечье,"Можете ли вы сказать, болит ли у вас предплечье?",1
377,Боль в предплечье,"Подскажите, жалуетесь ли вы на боль в предплечье?",1
378,Боль в предплечье,"Подскажите, возникает ли у вас боль в предплечье?",1
379,Боль в предплечье,Можете уточнить локализацию боли?,1
380,Боль в предплечье,Есть ли у вас боль в предплечье?,1
